ID,SHORT_NAME,FULL_NAME,HQSP_SCAN_ID,CELL_ID,CELL_NAME,STATE_ALPHA_CODE,SCALE_CODE,GRID_SIZE,HEADER_SOURCE_DATE,WEST_LONGITUDE,SOUTH_LATITUDE,EAST_LONGITUDE,NORTH_LATITUDE,ABSOLUTE_PATH
5792919,SMARTSVILLE CA HISTMAP TIFFBAG,"SMARTSVILLE, CA HISTORICAL MAP TIFF BAG 7.5X7.5 GRID 24000-SCALE 1951",300546,41747,Smartsville,CA,00024000,7.5X7.5 GRID,1951,-121.375,39.125,-121.25,39.25,https://prd-tnm.s3.amazonaws.com/hm_archive/CA/CA_Smartville_300546_1951_24000_bag.zip
5792918,SMARTSVILLE CA HISTMAP TIFFBAG,"SMARTSVILLE, CA HISTORICAL MAP TIFF BAG 7.5X7.5 GRID 24000-SCALE 1951",300545,41747,Smartsville,CA,00024000,7.5X7.5 GRID,1951,-121.375,39.125,-121.25,39.25,https://prd-tnm.s3.amazonaws.com/hm_archive/CA/CA_Smartville_300545_1951_24000_bag.zip
5792917,SMARTSVILLE CA HISTMAP TIFFBAG,"SMARTSVILLE, CA HISTORICAL MAP TIFF BAG 7.5X7.5 GRID 24000-SCALE 1949",300544,41747,Smartsville,CA,00024000,7.5X7.5 GRID,1949,-121.375,39.125,-121.25,39.25,https://prd-tnm.s3.amazonaws.com/hm_archive/CA/CA_Smartville_300544_1949_24000_bag.zip
5792916,SMARTSVILLE CA HISTMAP TIFFBAG,"SMARTSVILLE, CA HISTORICAL MAP TIFF BAG 7.5X7.5 GRID 24000-SCALE 1995",295234,41747,Smartsville,CA,00024000,7.5X7.5 GRID,1995,-121.375,39.125,-121.25,39.25,https://prd-tnm.s3.amazonaws.com/hm_archive/CA/CA_Smartville_295234_1995_24000_bag.zip
5792915,SMARTSVILLE CA HISTMAP TIFFBAG,"SMARTSVILLE, CA HISTORICAL MAP TIFF BAG 7.5X7.5 GRID 24000-SCALE 1995",295233,41747,Smartsville,CA,00024000,7.5X7.5 GRID,1995,-121.375,39.125,-121.25,39.25,https://prd-tnm.s3.amazonaws.com/hm_archive/CA/CA_Smartville_295233_1995_24000_bag.zip
5873223,BIG MARIA MOUNTAINS NE CA-AZ HISTMAP TIF,"BIG MARIA MOUNTAINS NE, CA-AZ HISTORICAL MAP TIFF BAG 7.5X7.5 GRID 24000-SCALE 1954",302408,3769,Big Maria Mountains NE,CA,00024000,7.5X7.5 GRID,1954,-114.625,33.875,-114.5,34,https://prd-tnm.s3.amazonaws.com/hm_archive/CA/CA_Big Maria Mts NE_302408_1954_24000_bag.zip
5873222,BIG MARIA MOUNTAINS NE CA-AZ HISTMAP TIF,"BIG MARIA MOUNTAINS NE, CA-AZ HISTORICAL MAP TIFF BAG 7.5X7.5 GRID 24000-SCALE 1954",288396,3769,Big Maria Mountains NE,CA,00024000,7.5X7.5 GRID,1954,-114.625,33.875,-114.5,34,https://prd-tnm.s3.amazonaws.com/hm_archive/CA/CA_Big Maria Mts NE_288396_1954_24000_bag.zip
5873221,BIG MARIA MOUNTAINS NE CA-AZ HISTMAP TIF,"BIG MARIA MOUNTAINS NE, CA-AZ HISTORICAL MAP TIFF BAG 7.5X7.5 GRID 24000-SCALE 1954",288395,3769,Big Maria Mountains NE,CA,00024000,7.5X7.5 GRID,1954,-114.625,33.875,-114.5,34,https://prd-tnm.s3.amazonaws.com/hm_archive/CA/CA_Big Maria Mts NE_288395_1954_24000_bag.zip
5873220,BIG MARIA MOUNTAINS NE CA-AZ HISTMAP TIF,"BIG MARIA MOUNTAINS NE, CA-AZ HISTORICAL MAP TIFF BAG 7.5X7.5 GRID 24000-SCALE 1954",288394,3769,Big Maria Mountains NE,CA,00024000,7.5X7.5 GRID,1954,-114.625,33.875,-114.5,34,https://prd-tnm.s3.amazonaws.com/hm_archive/CA/CA_Big Maria Mts NE_288394_1954_24000_bag.zip
5874262,BIG MARIA MOUNTAINS NE CA-AZ HISTMAP TIF,"BIG MARIA MOUNTAINS NE, CA-AZ HISTORICAL MAP TIFF BAG 7.5X7.5 GRID 24000-SCALE 1954",288393,3769,Big Maria Mountains NE,CA,00024000,7.5X7.5 GRID,1954,-114.625,33.875,-114.5,34,https://prd-tnm.s3.amazonaws.com/hm_archive/CA/CA_Big Maria Mts NE_288393_1954_24000_bag.zip
5874261,BIG MARIA MOUNTAINS NE CA-AZ HISTMAP TIF,"BIG MARIA MOUNTAINS NE, CA-AZ HISTORICAL MAP TIFF BAG 7.5X7.5 GRID 24000-SCALE 1954",100211,3769,Big Maria Mountains NE,CA,00024000,7.5X7.5 GRID,1954,-114.625,33.875,-114.5,34,https://prd-tnm.s3.amazonaws.com/hm_archive/CA/CA_Big Maria Mts NE_100211_1954_24000_bag.zip
5874260,BIG MARIA MOUNTAINS SW CA HISTMAP TIFFBA,"BIG MARIA MOUNTAINS SW, CA HISTORICAL MAP TIFF BAG 7.5X7.5 GRID 24000-SCALE 1971",288404,3772,Big Maria Mountains SW,CA,00024000,7.5X7.5 GRID,1971,-114.75,33.75,-114.625,33.875,https://prd-tnm.s3.amazonaws.com/hm_archive/CA/CA_Big Maria Mts SW_288404_1971_24000_bag.zip
5874259,BIG MARIA MOUNTAINS SW CA HISTMAP TIFFBA,"BIG MARIA MOUNTAINS SW, CA HISTORICAL MAP TIFF BAG 7.5X7.5 GRID 24000-SCALE 1971",288403,3772,Big Maria Mountains SW,CA,00024000,7.5X7.5 GRID,1971,-114.75,33.75,-114.625,33.875,https://prd-tnm.s3.amazonaws.com/hm_archive/CA/CA_Big Maria Mts SW_288403_1971_24000_bag.zip
5868060,ACOLITA CA HISTMAP TIFFBAG,"ACOLITA, CA HISTORICAL MAP TIFF BAG 7.5X7.5 GRID 24000-SCALE 1953",287775,105,Acolita,CA,00024000,7.5X7.5 GRID,1953,-115.25,33,-115.125,33.125,https://prd-tnm.s3.amazonaws.com/hm_archive/CA/CA_Acolita_287775_1953_24000_bag.zip
5868059,ACOLITA CA HISTMAP TIFFBAG,"ACOLITA, CA HISTORICAL MAP TIFF BAG 7.5X7.5 GRID 24000-SCALE 1953",287774,105,Acolita,CA,00024000,7.5X7.5 GRID,1953,-115.25,33,-115.125,33.125,https://prd-tnm.s3.amazonaws.com/hm_archive/CA/CA_Acolita_287774_1953_24000_bag.zip
5868058,ACOLITA CA HISTMAP TIFFBAG,"ACOLITA, CA HISTORICAL MAP TIFF BAG 7.5X7.5 GRID 24000-SCALE 1992",287772,105,Acolita,CA,00024000,7.5X7.5 GRID,1992,-115.25,33,-115.125,33.125,https://prd-tnm.s3.amazonaws.com/hm_archive/CA/CA_Acolita_287772_1992_24000_bag.zip
